cust_id,year,emp_length_int,home_ownership,home_ownership_cat,income_category,income_cat,loan_amount,loan_term,loan_term_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,Account No,Transation_Date,TRANSACTION DETAILS, WITHDRAWAL AMT , DEPOSIT AMT ,BALANCE AMT,Surname,CreditScore,Geography,EstimatedSalary,Taxrating_2019,Taxrating_2018,Taxrating_2017
53,2011,0.5,RENT,1,Low,1,7000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,10.65,B,2,7.38,8205.473816,7000,0,228.02,409000000052,6-Sep-17,INDO GIBL Indiaforensic STL17081,"176,900.00",,3411045.00,O'Brien,788,France,116978.19,1,1,1
54,2011,4,RENT,1,Low,1,12000, 36 months,1,car,2,High,2,Bad Loan,1,15.96,C,3,20.88,3521.95,1903.66,578.94,421.65,409000000053,6-Sep-17,INDO GIBL Indiaforensic STL18081,"150,050.00",,3260995.00,Parkhill,655,Germany,164040.94,1,1,1
55,2011,1,RENT,1,Low,1,12000, 36 months,1,credit_card,1,Low,1,Good Loan,0,9.91,B,2,8.11,13748.21311,12000,0,386.7,409000000054,6-Sep-17,INDO GIBL Indiaforensic STL19081,"82,500.00",,3178495.00,Yoo,601,Germany,40014.76,1,1,1
56,2011,7,RENT,1,Low,1,21000, 60 months,2,debt_consolidation,6,High,2,Bad Loan,1,19.91,E,5,21.58,18319.14,8990.81,0,555.33,409000000055,6-Sep-17,INDO GIBL Indiaforensic STL20081,"14,800.00",,3163695.00,Phillipps,619,France,113410.49,1,1,1
57,2011,7,RENT,1,Low,1,16000, 60 months,2,credit_card,1,High,2,Good Loan,0,19.91,E,5,20.52,20876.1,16000,0,423.11,409000000056,6-Sep-17,INDO GIBL Indiaforensic STL21081,"150,600.00",,3013095.00,Tsao,656,France,87107.57,1,1,1
58,2011,0.5,OWN,2,Low,1,10000, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,12.42,B,2,18.58,11474.76,10000,0,334.16,409000000057,6-Sep-17,INDO GIBL Indiaforensic STL22081,"203,325.00",,2809770.00,Endrizzi,725,Germany,45613.75,1,1,1
59,2011,2,RENT,1,Low,1,10000, 36 months,1,credit_card,1,Low,1,Good Loan,0,10.65,B,2,19.14,10575.94,10000,0,325.74,409000000058,6-Sep-17,INDO GIBL Indiaforensic STL23081,"123,900.00",,2685870.00,T'ien,511,Spain,1643.11,1,1,1
60,2011,1,MORTGAGE,3,Low,1,7100, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,16.77,D,4,24,9079.334843,7100,0,252.33,409000000059,6-Sep-17,INDO GIBL Indiaforensic STL24081,"33,863.00",,2652007.00,Velazquez,614,France,46775.28,1,1,1
61,2011,0.5,MORTGAGE,3,Low,1,13000, 60 months,2,debt_consolidation,6,Low,1,Good Loan,0,12.69,B,2,13.72,17402.23999,13000,0,293.74,409000000060,6-Sep-17,INDO GIBL Indiaforensic STL25081,"32,000.00",,2620007.00,Hunter,742,Germany,84509.57,1,1,1
62,2011,6,RENT,1,Low,1,17500, 60 months,2,small_business,3,High,2,Good Loan,0,17.27,D,4,19.47,10713.52,6487.75,0,223.74,409000000061,6-Sep-17,INDO GIBL Indiaforensic STL26081,"8,299.00",,2611708.00,Clark,687,Germany,126494.82,1,1,1
63,2011,0.5,RENT,1,Low,1,17675, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,14.65,C,3,16.46,21323.43,17675,0,417.25,409000000062,6-Sep-17,INDO GIBL Indiaforensic STL28081,"52,219.00",,2559489.00,Jeffrey,555,Spain,178798.13,1,1,1
64,2011,0.5,RENT,1,Low,1,8000, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,16.77,D,4,21.64,10267.26214,8000,0,284.31,409000000063,6-Sep-17,INDO GIBL Indiaforensic STL29081,"96,450.00",,2463039.00,Pirozzi,684,Spain,99398.36,1,1,1
65,2011,10,RENT,1,Low,1,10000, 60 months,2,debt_consolidation,6,Low,1,Bad Loan,1,10.65,B,2,21.73,8772.91,5495.38,847.3,215.69,409000000064,6-Sep-17,INDO GIBL Indiaforensic STL30081,"139,863.00",,2323176.00,Jackson,603,Germany,92840.67,1,1,1
66,2011,7,MORTGAGE,3,Low,1,3500, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,10.65,B,2,5.39,4103.168128,3500,0,114.01,409000000065,6-Sep-17,INDO GIBL Indiaforensic STL31081,"52,723.00",,2270453.00,Hammond,751,Germany,27758.36,1,1,1
67,2011,5,RENT,1,Low,1,12500, 60 months,2,debt_consolidation,6,High,2,Bad Loan,1,17.27,D,4,13.16,5577.75,2812.82,22.5,223.11,409000000066,25-Sep-17,INDO GIBL Indiaforensic STL01091,"77,251.00",,2193202.00,Brownless,581,Germany,110431.51,1,1,1
68,2011,4,RENT,1,Low,1,16425, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,14.27,C,3,22.71,18172.71,16425,0,563.53,409000000067,25-Sep-17,INDO GIBL Indiaforensic STL02091,"20,000.00",,2173202.00,Chibugo,735,Germany,196673.28,1,1,1
69,2011,4,RENT,1,Low,1,8200, 60 months,2,small_business,3,High,2,Bad Loan,1,21.28,F,6,12.48,4173.57,1525.83,381.89,223.14,409000000068,25-Sep-17,INDO GIBL Indiaforensic STL03091,"10,000.00",,2163202.00,Glauert,661,Germany,113656.85,1,1,1
70,2011,2,OWN,2,Low,1,15000, 36 months,1,credit_card,1,High,2,Good Loan,0,14.65,C,3,11.88,18562.40042,15000,0,517.42,409000000069,25-Sep-17,INDO GIBL Indiaforensic STL04091,"103,600.00",,2059602.00,Pisano,675,France,18203.00,1,1,1
71,2011,5,MORTGAGE,3,Low,1,20975, 60 months,2,credit_card,1,High,2,Good Loan,0,17.58,D,4,18.79,18097.34458,13575,0,341.63,409000000070,25-Sep-17,INDO GIBL Indiaforensic STL05091,"71,000.00",,1988602.00,Konovalova,738,Germany,28373.86,1,1,1
72,2011,5,RENT,1,Low,1,6400, 36 months,1,debt_consolidation,6,High,2,Bad Loan,1,16.77,D,4,20.22,4776.45,3334.25,10.29,227.45,409000000071,25-Sep-17,INDO GIBL Indiaforensic STL06091,"129,400.00",,1859202.00,McKee,813,France,33953.87,1,1,1
73,2011,1,RENT,1,Low,1,3000, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,13.49,C,3,18.11,3246.8,3000,0,101.8,409000000072,25-Sep-17,INDO GIBL Indiaforensic STL07091,"290,163.00",,1569039.00,Palermo,657,Spain,44203.55,1,1,1
74,2011,3,RENT,1,Low,1,12000, 36 months,1,credit_card,1,High,2,Good Loan,0,16.77,D,4,20.57,15346.46687,12000,0,426.47,409000000073,25-Sep-17,INDO GIBL Indiaforensic STL08091,"34,300.00",,1534739.00,Ballard,604,Germany,58426.81,1,1,1
75,2011,0.5,OWN,2,Medium,2,14400, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,8.9,A,1,14.85,16459.51914,14400,0,457.25,409000000074,25-Sep-17,INDO GIBL Indiaforensic STL09091,"49,800.00",,1484939.00,Wallace,519,France,145562.40,1,1,1
76,2011,10,RENT,1,Low,1,12000, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,14.65,C,3,16.56,12699.48,12000,0,413.94,409000000075,25-Sep-17,INDO GIBL Indiaforensic STL10091,"44,800.00",,1440139.00,Cavenagh,735,France,22388.00,1,1,1
77,2011,10,MORTGAGE,3,Low,1,11000, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,13.49,C,3,21.82,13413.21605,11000,0,373.24,409000000076,25-Sep-17,INDO GIBL Indiaforensic STL11091,"151,550.00",,1288589.00,Hu,664,France,139161.64,1,1,1
78,2011,0.5,RENT,1,Low,1,7250, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,21.67,F,6,24.82,8201.53,7200,0,197.51,409000000077,25-Sep-17,INDO GIBL Indiaforensic STL12091,"310,399.00",,978190.00,Read,678,France,148210.64,1,1,1
79,2011,1,MORTGAGE,3,Low,1,15000, 36 months,1,small_business,3,Low,1,Good Loan,0,7.9,A,1,9.65,15557.64,15000,0,469.36,409000000078,25-Sep-17,INDO GIBL Indiaforensic STL13091,"271,401.00",,706789.00,Bushell,757,Spain,194239.63,1,1,1
80,2011,10,MORTGAGE,3,Low,1,18000, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,19.91,E,5,6.81,26027.53964,18000,0,475.99,409000000079,25-Sep-17,INDO GIBL Indiaforensic STL14091,"275,449.00",,431340.00,Postle,416,Germany,98301.61,1,1,1
81,2011,3,MORTGAGE,3,Medium,2,35000, 60 months,2,home_improvement,7,High,2,Good Loan,0,17.27,D,4,7.51,28871.92,22075,0,551.84,409000000080,25-Sep-17,INDO GIBL Indiaforensic STL15091,"51,502.00",,379838.00,Buley,665,France,171413.66,1,1,1
82,2011,2,RENT,1,Low,1,10000, 36 months,1,credit_card,1,High,2,Good Loan,0,14.27,C,3,15.39,10671.62,10000,0,343.09,409000000081,25-Sep-17,INDO GIBL Indiaforensic STL16091,"36,650.00",,343188.00,Leonard,777,France,136458.19,1,1,1
83,2011,6,RENT,1,Low,1,11800, 36 months,1,credit_card,1,Low,1,Good Loan,0,12.69,B,2,9.86,14243.15837,11800,0,395.83,409000000082,25-Sep-17,INDO GIBL Indiaforensic STL17091,"99,600.00",,243588.00,Mills,543,France,26019.59,1,1,1
84,2011,4,RENT,1,Low,1,4500, 36 months,1,major_purchase,8,Low,1,Good Loan,0,6.03,A,1,4.44,4930.30217,4500,0,136.96,409000000083,25-Sep-17,FDRL/INTERNAL FUND TRANSFE,,500000.00,743588.00,Onyeorulu,506,France,159235.29,1,1,1
85,2011,10,RENT,1,Low,1,7000, 36 months,1,credit_card,1,Low,1,Good Loan,0,12.69,B,2,11.35,8449.394742,7000,0,234.82,409000000084,25-Sep-17,FDRL/INTERNAL FUND TRANSFE,,500000.00,1243588.00,Beit,493,France,1907.66,1,1,1
86,2011,2,RENT,1,Low,1,9200, 36 months,1,debt_consolidation,6,Low,1,Good Loan,0,12.42,B,2,19.96,10480.84,9200,0,307.43,409000000085,25-Sep-17,FDRL/INTERNAL FUND TRANSFE,,500000.00,1743588.00,Ndukaku,652,Spain,114675.75,1,1,1
87,2011,4,RENT,1,Low,1,14000, 60 months,2,other,4,High,2,Good Loan,0,17.27,D,4,6.34,16777.04,10157.6,0,349.98,409000000086,25-Sep-17,FDRL/INTERNAL FUND TRANSFE,,500000.00,2243588.00,Gant,750,Spain,128643.35,1,1,1
88,2011,0.5,MORTGAGE,3,Low,1,4500, 60 months,2,car,2,Low,1,Good Loan,0,10.65,B,2,5.4,4907.8,4500,0,97.06,409000000087,25-Sep-17,FDRL/INTERNAL FUND TRANSFE,,500000.00,2743588.00,Rowley,729,France,151869.35,1,1,1
89,2011,9,RENT,1,Low,1,12000, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,16.29,D,4,16.85,14685.36,12000,0,423.61,409000000088,26-Sep-17,INDO GIBL Indiaforensic STL18091,"411,763.00",,2331825.00,Sharpe,646,France,93251.42,1,1,1
90,2011,4,RENT,1,Low,1,12000, 36 months,1,debt_consolidation,6,High,2,Good Loan,0,13.49,C,3,21.33,13985.67622,12000,0,407.17,409000000089,26-Sep-17,INDO GIBL Indiaforensic STL19091,"355,138.00",,1976687.00,Osborne,635,Germany,156791.36,1,1,1
91,2011,0.5,RENT,1,Low,1,12000, 36 months,1,credit_card,1,Low,1,Good Loan,0,10.65,B,2,23.94,12779.62,12000,0,390.88,409000000090,26-Sep-17,INDO GIBL Indiaforensic STL20091,"88,656.00",,1888031.00,Heap,647,Spain,174205.22,1,1,1
92,2011,3,MORTGAGE,3,Low,1,7000, 36 months,1,credit_card,1,Low,1,Good Loan,0,10.65,B,2,5.38,7687.73,7000,0,228.02,409000000091,26-Sep-17,INDO GIBL Indiaforensic STL21091,"14,800.00",,1873231.00,Ritchie,808,France,147132.46,1,1,1
93,2011,3,RENT,1,Medium,2,8200, 60 months,2,debt_consolidation,6,High,2,Good Loan,0,19.42,E,5,2.8,11894.8952,8200,0,214.62,409000000092,26-Sep-17,INDO GIBL Indiaforensic STL22091,"27,000.00",,1846231.00,Cole,524,France,109614.57,1,1,1
